date,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
23-02-2021 21:00,1,32.93571429,15.6047619,55.43138095,1330.451429,112.7407619,393,28.36190476,63.18809524
23-02-2021 22:00,1,30.93235294,14.59411765,58.19717647,1200.603529,112.3664706,377.5882353,28.32058824,63.77352941
23-02-2021 23:00,1,27.645,13.43666667,55.02943333,1177.897,112.7004333,372.4766667,28.33666667,64.205
24-02-2021 00:00,1,24.38,12.365,54.7677,1267.476,112.4808667,389.07,28.305,64.735
24-02-2021 01:00,1,22.52166667,11.63666667,53.7862,1322.293,114.3315,393,28.3,65.18833333
24-02-2021 02:00,1,22.14333333,11.53,55.81463333,1358.392,115.9939333,394.31,28.25333333,65.56166667
24-02-2021 03:00,1,21.57166667,11.24166667,54.80041667,1309.687,114.1746667,393,28.21666667,65.925
24-02-2021 04:00,1,20.98833333,11.13,53.85163333,1270.914,113.9237333,393,28.2,66.29166667
24-02-2021 05:00,1,20.96,11.06,52.8047,1263.656,113.0141,393,28.18833333,66.58333333
24-02-2021 06:00,1,21.34166667,11.17666667,54.30966667,1322.675,115.3666,399.55,28.16166667,66.90666667
24-02-2021 07:00,1,23.5,11.785,55.29116667,1372.335,115.8057333,418.7633333,28.19166667,67.17333333
24-02-2021 08:00,1,33.45833333,15.7,65.62963333,1289.441,113.1395667,399.9866667,28.18666667,67.30166667
24-02-2021 09:00,1,72.615,30.90166667,118.66335,746.619,119.4442667,304.3566667,28.135,66.775
24-02-2021 10:00,1,98.17777778,41.6,131.7391111,976.6466667,125.4666667,285.2888889,28.36666667,65.97777778
24-02-2021 11:00,1,58.45416667,26.875,40.32329167,1065.3025,85.39575,295.8416667,25.81666667,58.98333333
24-02-2021 12:00,1,53.995,24.59833333,58.07208333,1227.939,98.0522,319.64,25.705,60.93833333
24-02-2021 13:00,1,40.56666667,19.93666667,62.09623333,1316.754,106.9917,351.08,25.81666667,62.84
24-02-2021 14:00,1,33.93,16.655,58.82456667,1274.734,103.7295667,367.6733333,25.85,63.34333333
24-02-2021 15:00,1,34.32142857,16.29107143,55.55991071,1626.501429,100.4853571,366.3321429,25.83035714,62.62321429
24-02-2021 16:00,1,32.48833333,15.32,56.37081667,1467.262,102.9767667,355.8833333,25.78,61.42666667
24-02-2021 17:00,1,45.67333333,20.24666667,88.95661667,1020.131,125.1843667,347.5866667,27.42166667,63.38
24-02-2021 18:00,1,45.57166667,20.53833333,69.78465,917.182,112.3867667,366.8,27.72166667,64.115
24-02-2021 19:00,1,40.68833333,18.26833333,67.23275,899.037,113.8923667,366.8,27.71833333,65.11666667
24-02-2021 20:00,1,35.95166667,16.67166667,61.34375,910.306,110.9439,373.35,27.77666667,65.6
24-02-2021 21:00,1,33.30166667,15.71166667,55.91278333,896.554,112.4495,386.8866667,27.8,66.055
24-02-2021 22:00,1,33.01333333,15.65333333,53.49175,931.125,110.5361333,393,27.8,66.27166667
24-02-2021 23:00,1,32.63833333,15.595,50.6454,934.563,111.0693667,393,27.8,66.21666667
25-02-2021 00:00,1,31.20333333,15.18666667,51.49603333,1004.087,109.7206,399.9866667,27.79666667,66.37833333
25-02-2021 01:00,1,31.48333333,15.345,51.6269,1024.524,108.5600333,412.2133333,27.78,66.46833333
25-02-2021 02:00,1,32.32166667,15.25833333,53.13186667,976.01,110.3479333,395.1833333,27.7,66.56666667
25-02-2021 03:00,1,31.625,14.81666667,49.00956667,890.251,111.5085,393,27.7,66.585
25-02-2021 04:00,1,28.23166667,13.85833333,47.17743333,891.015,109.4383,393,27.7,66.825
25-02-2021 05:00,1,25.85833333,13.15166667,47.7009,938.956,108.7482333,393.4366667,27.69666667,67.12333333
25-02-2021 06:00,1,26.27333333,13.11833333,48.91141667,969.898,108.1209,398.24,27.60666667,67.42166667
25-02-2021 07:00,1,27.79833333,13.555,51.79048333,1034.647,109.9401667,414.8333333,27.64333333,67.81333333
25-02-2021 08:00,1,31.46896552,14.46034483,51.71489655,1013.222069,110.8757586,419.2,27.83103448,67.69310345
25-02-2021 11:00,1,26,12.6,41.223,2097.18,88.454,393,27.7,61.5
26-02-2021 11:00,1,36.70294118,18.24411765,59.40961765,3482.154706,102.6243529,354.4705882,26.74411765,69.43823529
26-02-2021 12:00,1,40.17166667,18.94833333,70.40626667,2780.387,104.5764667,368.11,26.82333333,70.24
26-02-2021 13:00,1,39.53,19.71833333,67.46176667,2885.437,102.5376333,367.6733333,26.79,69.86166667
26-02-2021 14:00,1,38.95166667,19.535,66.77471667,2286.652,103.6668333,371.1666667,26.76833333,68.92833333
26-02-2021 15:00,1,42.63666667,20.99333333,73.35076667,1969.21,104.9842333,373.35,26.815,69.68333333
